package	slot	class	label	count	reccomended
water	env_local_scale	ENVO:00000054	saline marsh	189.0	False
water	env_medium	ENVO:00002007	sediment	188.0	False
water	env_broad_scale	ENVO:01000249	urban biome	185.0	False
water	env_local_scale	ENVO:00000019	saline lake	184.0	False
soil	env_broad_scale	ENVO:01000250	subpolar coniferous forest biome	182.0	False
plant-associated	env_medium	ENVO:00001998	soil	180.0	False
water	env_broad_scale	ENVO:00002011	fresh water	180.0	False
soil	env_broad_scale	ENVO:00002261	forest soil	175.0	False
water	env_medium	ENVO:00002151	obsolete ocean water	174.0	False
soil	env_broad_scale	ENVO:01000389	temperate mixed broadleaf forest	172.0	False
soil	env_local_scale	ENVO:00000077	agricultural feature	172.0	False
water	env_local_scale	ENVO:00001999	marine water body	170.0	False
soil	env_medium	ENVO:00005783	leafy wood soil	164.0	False
water	env_broad_scale	ENVO:01000180	tundra biome	164.0	False
sediment	env_medium	ENVO:00000546	lake sediment	159.0	False
soil	env_broad_scale	ENVO:01001357	desert	157.0	False
water	env_broad_scale	ENVO:00000045	estuary	154.0	False
soil	env_local_scale	ENVO:00000469	research facility	153.0	False
water	env_local_scale	ENVO:01000301	estuarine water	153.0	False
water	env_medium	ENVO:00002019	brackish water	153.0	False
soil	env_local_scale	ENVO:00002263	garden soil	152.0	False
soil	env_broad_scale	ENVO:00000134	permafrost	149.0	False
soil	env_local_scale	ENVO:01001610	active layer in a cryosphere	146.0	False
soil	env_broad_scale	ENVO:01000179	desert biome	143.0	False
water	env_medium	ENVO:00002010	saline water	143.0	False
sediment	env_local_scale	ENVO:00000316	intertidal zone	140.0	False
sediment	env_local_scale	ENVO:01000774	oligotrophic lake	140.0	False
water	env_broad_scale	CHEBI:15377	water	139.0	False
sediment	env_broad_scale	ENVO:00000881	obsolete Tropical and subtropical grasslands, savannas, and shrubland biome	137.0	False
sediment	env_local_scale	ENVO:00002022	obsolete alkaline habitat	137.0	False
water	env_local_scale	ENVO:00000207	oceanic zone	137.0	False
water	env_broad_scale	ENVO:00000890	small river biome	133.0	False
water	env_broad_scale	ENVO:01001357	desert	132.0	False
soil	env_medium	ENVO:00005802	bulk soil	127.0	False
sediment	env_broad_scale	ENVO:00000892	Small lake biome	124.0	False
soil	env_broad_scale	ENVO:01000228	tropical moist broadleaf forest biome	123.0	False
soil	env_medium	ENVO:00002007	sediment	121.0	False
soil	env_broad_scale	ENVO:01000196	coniferous forest biome	120.0	False
water	env_local_scale	ENVO:00000213	marine mesopelagic zone	119.0	False
plant-associated	env_medium	PO:0009005	root	115.0	False
plant-associated	env_medium	ENVO:00002005	air	114.0	False
soil	env_broad_scale	ENVO:00002988	obsolete Temperate grasslands	112.0	False
soil	env_local_scale	ENVO:00000232	fen	110.0	False
sediment	env_local_scale	ENVO:03000033	marine sediment	109.0	False
sediment	env_medium	ENVO:00001998	soil	109.0	False
sediment	env_medium	ENVO:00002127	stream sediment	109.0	False
plant-associated	env_broad_scale	ENVO:01000206	temperate	108.0	False
soil	env_broad_scale	ENVO:01000195	flooded grassland biome	108.0	False
soil	env_local_scale	ENVO:00005801	rhizosphere	108.0	False
